Directory,Breed
Images/n02088466-bloodhound/n02088466_6789.jpg,bloodhound
Images/n02110063-malamute/n02110063_210.jpg,malamute
Images/n02094433-Yorkshire_terrier/n02094433_3400.jpg,Yorkshire_terrier
Images/n02104365-schipperke/n02104365_3963.jpg,schipperke
Images/n02112018-Pomeranian/n02112018_5165.jpg,Pomeranian
Images/n02105251-briard/n02105251_7349.jpg,briard
Images/n02111129-Leonberg/n02111129_650.jpg,Leonberg
Images/n02099429-curly-coated_retriever/n02099429_433.jpg,curly-coated_retriever
Images/n02108915-French_bulldog/n02108915_4214.jpg,French_bulldog
Images/n02085936-Maltese_dog/n02085936_4004.jpg,Maltese_dog
Images/n02093754-Border_terrier/n02093754_3442.jpg,Border_terrier
Images/n02110063-malamute/n02110063_9703.jpg,malamute
Images/n02107312-miniature_pinscher/n02107312_3624.jpg,miniature_pinscher
Images/n02097474-Tibetan_terrier/n02097474_124.jpg,Tibetan_terrier
Images/n02110958-pug/n02110958_4189.jpg,pug
Images/n02085782-Japanese_spaniel/n02085782_1665.jpg,Japanese_spaniel
Images/n02093647-Bedlington_terrier/n02093647_1226.jpg,Bedlington_terrier
Images/n02088632-bluetick/n02088632_28.jpg,bluetick
Images/n02091467-Norwegian_elkhound/n02091467_3126.jpg,Norwegian_elkhound
Images/n02116738-African_hunting_dog/n02116738_3692.jpg,African_hunting_dog
Images/n02100735-English_setter/n02100735_3899.jpg,English_setter
Images/n02105855-Shetland_sheepdog/n02105855_17517.jpg,Shetland_sheepdog
Images/n02099712-Labrador_retriever/n02099712_4074.jpg,Labrador_retriever
Images/n02097047-miniature_schnauzer/n02097047_1532.jpg,miniature_schnauzer
Images/n02102177-Welsh_springer_spaniel/n02102177_4232.jpg,Welsh_springer_spaniel
Images/n02102040-English_springer/n02102040_3974.jpg,English_springer
Images/n02099601-golden_retriever/n02099601_5160.jpg,golden_retriever
Images/n02115913-dhole/n02115913_3854.jpg,dhole
Images/n02092002-Scottish_deerhound/n02092002_9656.jpg,Scottish_deerhound
Images/n02095570-Lakeland_terrier/n02095570_1752.jpg,Lakeland_terrier
Images/n02109961-Eskimo_dog/n02109961_8187.jpg,Eskimo_dog
Images/n02092002-Scottish_deerhound/n02092002_12414.jpg,Scottish_deerhound
Images/n02113978-Mexican_hairless/n02113978_2888.jpg,Mexican_hairless
Images/n02088632-bluetick/n02088632_3828.jpg,bluetick
Images/n02097209-standard_schnauzer/n02097209_1186.jpg,standard_schnauzer
Images/n02102040-English_springer/n02102040_3225.jpg,English_springer
Images/n02107908-Appenzeller/n02107908_4891.jpg,Appenzeller
Images/n02096294-Australian_terrier/n02096294_5098.jpg,Australian_terrier
Images/n02109525-Saint_Bernard/n02109525_997.jpg,Saint_Bernard
Images/n02091134-whippet/n02091134_2235.jpg,whippet
Images/n02089078-black-and-tan_coonhound/n02089078_256.jpg,black-and-tan_coonhound
Images/n02106662-German_shepherd/n02106662_855.jpg,German_shepherd
Images/n02105162-malinois/n02105162_5548.jpg,malinois
Images/n02091635-otterhound/n02091635_1311.jpg,otterhound
Images/n02113799-standard_poodle/n02113799_1518.jpg,standard_poodle
Images/n02110958-pug/n02110958_15663.jpg,pug
Images/n02089867-Walker_hound/n02089867_454.jpg,Walker_hound
Images/n02093647-Bedlington_terrier/n02093647_3150.jpg,Bedlington_terrier
Images/n02085936-Maltese_dog/n02085936_4257.jpg,Maltese_dog
Images/n02085936-Maltese_dog/n02085936_24464.jpg,Maltese_dog
Images/n02105641-Old_English_sheepdog/n02105641_1411.jpg,Old_English_sheepdog
Images/n02106550-Rottweiler/n02106550_1033.jpg,Rottweiler
Images/n02113712-miniature_poodle/n02113712_2045.jpg,miniature_poodle
Images/n02093647-Bedlington_terrier/n02093647_252.jpg,Bedlington_terrier
Images/n02111889-Samoyed/n02111889_475.jpg,Samoyed
Images/n02108000-EntleBucher/n02108000_3576.jpg,EntleBucher
Images/n02089867-Walker_hound/n02089867_822.jpg,Walker_hound
Images/n02112706-Brabancon_griffon/n02112706_1409.jpg,Brabancon_griffon
Images/n02113799-standard_poodle/n02113799_1140.jpg,standard_poodle
Images/n02090721-Irish_wolfhound/n02090721_1041.jpg,Irish_wolfhound
Images/n02090721-Irish_wolfhound/n02090721_5759.jpg,Irish_wolfhound
Images/n02088364-beagle/n02088364_10731.jpg,beagle
Images/n02093647-Bedlington_terrier/n02093647_1412.jpg,Bedlington_terrier
Images/n02102973-Irish_water_spaniel/n02102973_2449.jpg,Irish_water_spaniel
Images/n02111129-Leonberg/n02111129_892.jpg,Leonberg
Images/n02100735-English_setter/n02100735_1534.jpg,English_setter
Images/n02109047-Great_Dane/n02109047_926.jpg,Great_Dane
Images/n02115913-dhole/n02115913_1637.jpg,dhole
Images/n02095889-Sealyham_terrier/n02095889_5543.jpg,Sealyham_terrier
Images/n02107312-miniature_pinscher/n02107312_3020.jpg,miniature_pinscher
Images/n02092339-Weimaraner/n02092339_5120.jpg,Weimaraner
Images/n02086910-papillon/n02086910_2579.jpg,papillon
Images/n02113624-toy_poodle/n02113624_1220.jpg,toy_poodle
Images/n02109047-Great_Dane/n02109047_11184.jpg,Great_Dane
Images/n02095314-wire-haired_fox_terrier/n02095314_2338.jpg,wire-haired_fox_terrier
