Directory,Breed
Images/n02102318-cocker_spaniel/n02102318_6612.jpg,cocker_spaniel
Images/n02098413-Lhasa/n02098413_8771.jpg,Lhasa
Images/n02110185-Siberian_husky/n02110185_13127.jpg,Siberian_husky
Images/n02096177-cairn/n02096177_4825.jpg,cairn
Images/n02106550-Rottweiler/n02106550_11444.jpg,Rottweiler
Images/n02093647-Bedlington_terrier/n02093647_1556.jpg,Bedlington_terrier
Images/n02110185-Siberian_husky/n02110185_1532.jpg,Siberian_husky
Images/n02106662-German_shepherd/n02106662_10490.jpg,German_shepherd
Images/n02096585-Boston_bull/n02096585_1761.jpg,Boston_bull
Images/n02113023-Pembroke/n02113023_3913.jpg,Pembroke
Images/n02112706-Brabancon_griffon/n02112706_600.jpg,Brabancon_griffon
Images/n02098413-Lhasa/n02098413_4115.jpg,Lhasa
Images/n02088364-beagle/n02088364_12794.jpg,beagle
Images/n02107142-Doberman/n02107142_10070.jpg,Doberman
Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_1041.jpg,Greater_Swiss_Mountain_dog
Images/n02099712-Labrador_retriever/n02099712_7775.jpg,Labrador_retriever
Images/n02097474-Tibetan_terrier/n02097474_8272.jpg,Tibetan_terrier
Images/n02111500-Great_Pyrenees/n02111500_409.jpg,Great_Pyrenees
Images/n02100583-vizsla/n02100583_14017.jpg,vizsla
Images/n02088364-beagle/n02088364_6358.jpg,beagle
Images/n02087394-Rhodesian_ridgeback/n02087394_5161.jpg,Rhodesian_ridgeback
Images/n02100877-Irish_setter/n02100877_384.jpg,Irish_setter
Images/n02097298-Scotch_terrier/n02097298_5074.jpg,Scotch_terrier
Images/n02096437-Dandie_Dinmont/n02096437_3167.jpg,Dandie_Dinmont
Images/n02101006-Gordon_setter/n02101006_134.jpg,Gordon_setter
Images/n02096437-Dandie_Dinmont/n02096437_179.jpg,Dandie_Dinmont
Images/n02096177-cairn/n02096177_3475.jpg,cairn
Images/n02108915-French_bulldog/n02108915_12288.jpg,French_bulldog
Images/n02107683-Bernese_mountain_dog/n02107683_34.jpg,Bernese_mountain_dog
Images/n02116738-African_hunting_dog/n02116738_8037.jpg,African_hunting_dog
Images/n02115641-dingo/n02115641_12634.jpg,dingo
Images/n02099429-curly-coated_retriever/n02099429_869.jpg,curly-coated_retriever
Images/n02097209-standard_schnauzer/n02097209_4183.jpg,standard_schnauzer
Images/n02097474-Tibetan_terrier/n02097474_3314.jpg,Tibetan_terrier
Images/n02096585-Boston_bull/n02096585_2431.jpg,Boston_bull
Images/n02086646-Blenheim_spaniel/n02086646_1847.jpg,Blenheim_spaniel
Images/n02109525-Saint_Bernard/n02109525_499.jpg,Saint_Bernard
Images/n02095314-wire-haired_fox_terrier/n02095314_2130.jpg,wire-haired_fox_terrier
Images/n02096177-cairn/n02096177_515.jpg,cairn
Images/n02115913-dhole/n02115913_3918.jpg,dhole
Images/n02108000-EntleBucher/n02108000_1274.jpg,EntleBucher
Images/n02085620-Chihuahua/n02085620_3402.jpg,Chihuahua
Images/n02091244-Ibizan_hound/n02091244_2742.jpg,Ibizan_hound
Images/n02116738-African_hunting_dog/n02116738_4382.jpg,African_hunting_dog
Images/n02113186-Cardigan/n02113186_10505.jpg,Cardigan
Images/n02085620-Chihuahua/n02085620_3928.jpg,Chihuahua
Images/n02091467-Norwegian_elkhound/n02091467_3547.jpg,Norwegian_elkhound
Images/n02107312-miniature_pinscher/n02107312_2468.jpg,miniature_pinscher
Images/n02086910-papillon/n02086910_7606.jpg,papillon
Images/n02111129-Leonberg/n02111129_4366.jpg,Leonberg
Images/n02093256-Staffordshire_bullterrier/n02093256_2353.jpg,Staffordshire_bullterrier
Images/n02108000-EntleBucher/n02108000_2891.jpg,EntleBucher
Images/n02091831-Saluki/n02091831_1512.jpg,Saluki
Images/n02098413-Lhasa/n02098413_8151.jpg,Lhasa
Images/n02109047-Great_Dane/n02109047_7227.jpg,Great_Dane
Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_173.jpg,Greater_Swiss_Mountain_dog
Images/n02097474-Tibetan_terrier/n02097474_3259.jpg,Tibetan_terrier
Images/n02085620-Chihuahua/n02085620_3423.jpg,Chihuahua
Images/n02089973-English_foxhound/n02089973_1701.jpg,English_foxhound
Images/n02093859-Kerry_blue_terrier/n02093859_676.jpg,Kerry_blue_terrier
Images/n02109525-Saint_Bernard/n02109525_8704.jpg,Saint_Bernard
Images/n02089078-black-and-tan_coonhound/n02089078_1617.jpg,black-and-tan_coonhound
Images/n02085620-Chihuahua/n02085620_10621.jpg,Chihuahua
Images/n02111500-Great_Pyrenees/n02111500_7380.jpg,Great_Pyrenees
Images/n02107312-miniature_pinscher/n02107312_5290.jpg,miniature_pinscher
Images/n02106382-Bouvier_des_Flandres/n02106382_787.jpg,Bouvier_des_Flandres
Images/n02113624-toy_poodle/n02113624_3061.jpg,toy_poodle
Images/n02113799-standard_poodle/n02113799_2187.jpg,standard_poodle
Images/n02112137-chow/n02112137_7428.jpg,chow
Images/n02093428-American_Staffordshire_terrier/n02093428_3098.jpg,American_Staffordshire_terrier
Images/n02108915-French_bulldog/n02108915_1343.jpg,French_bulldog
Images/n02106166-Border_collie/n02106166_90.jpg,Border_collie
Images/n02102318-cocker_spaniel/n02102318_10930.jpg,cocker_spaniel
Images/n02106030-collie/n02106030_10246.jpg,collie
Images/n02087046-toy_terrier/n02087046_5541.jpg,toy_terrier
Images/n02096437-Dandie_Dinmont/n02096437_1207.jpg,Dandie_Dinmont
Images/n02106030-collie/n02106030_17255.jpg,collie
Images/n02091467-Norwegian_elkhound/n02091467_2298.jpg,Norwegian_elkhound
Images/n02105641-Old_English_sheepdog/n02105641_1045.jpg,Old_English_sheepdog
Images/n02106550-Rottweiler/n02106550_6192.jpg,Rottweiler
Images/n02096051-Airedale/n02096051_5389.jpg,Airedale
Images/n02111889-Samoyed/n02111889_17211.jpg,Samoyed
Images/n02098413-Lhasa/n02098413_2954.jpg,Lhasa
Images/n02097209-standard_schnauzer/n02097209_2956.jpg,standard_schnauzer
Images/n02094114-Norfolk_terrier/n02094114_3036.jpg,Norfolk_terrier
Images/n02088238-basset/n02088238_9162.jpg,basset
Images/n02110063-malamute/n02110063_15160.jpg,malamute
Images/n02088238-basset/n02088238_8140.jpg,basset
Images/n02086240-Shih-Tzu/n02086240_2211.jpg,Shih-Tzu
Images/n02108000-EntleBucher/n02108000_2586.jpg,EntleBucher
Images/n02090622-borzoi/n02090622_7961.jpg,borzoi
Images/n02091831-Saluki/n02091831_8404.jpg,Saluki
Images/n02096585-Boston_bull/n02096585_9122.jpg,Boston_bull
Images/n02107312-miniature_pinscher/n02107312_6151.jpg,miniature_pinscher
Images/n02107312-miniature_pinscher/n02107312_2967.jpg,miniature_pinscher
Images/n02107908-Appenzeller/n02107908_2294.jpg,Appenzeller
Images/n02094258-Norwich_terrier/n02094258_2711.jpg,Norwich_terrier
Images/n02091244-Ibizan_hound/n02091244_3822.jpg,Ibizan_hound
Images/n02098413-Lhasa/n02098413_9008.jpg,Lhasa
Images/n02107312-miniature_pinscher/n02107312_843.jpg,miniature_pinscher
Images/n02110185-Siberian_husky/n02110185_14594.jpg,Siberian_husky
Images/n02091244-Ibizan_hound/n02091244_3735.jpg,Ibizan_hound
Images/n02091467-Norwegian_elkhound/n02091467_4049.jpg,Norwegian_elkhound
Images/n02096177-cairn/n02096177_3534.jpg,cairn
Images/n02113712-miniature_poodle/n02113712_3155.jpg,miniature_poodle
Images/n02090379-redbone/n02090379_1476.jpg,redbone
Images/n02100877-Irish_setter/n02100877_5231.jpg,Irish_setter
Images/n02104029-kuvasz/n02104029_2659.jpg,kuvasz
Images/n02092002-Scottish_deerhound/n02092002_11390.jpg,Scottish_deerhound
Images/n02107574-Greater_Swiss_Mountain_dog/n02107574_492.jpg,Greater_Swiss_Mountain_dog
Images/n02096177-cairn/n02096177_1464.jpg,cairn
Images/n02113712-miniature_poodle/n02113712_317.jpg,miniature_poodle
Images/n02092002-Scottish_deerhound/n02092002_2217.jpg,Scottish_deerhound
Images/n02112018-Pomeranian/n02112018_5560.jpg,Pomeranian
Images/n02116738-African_hunting_dog/n02116738_7506.jpg,African_hunting_dog
Images/n02085936-Maltese_dog/n02085936_10307.jpg,Maltese_dog
Images/n02105505-komondor/n02105505_2178.jpg,komondor
Images/n02111889-Samoyed/n02111889_9533.jpg,Samoyed
Images/n02105162-malinois/n02105162_5364.jpg,malinois
Images/n02099712-Labrador_retriever/n02099712_5769.jpg,Labrador_retriever
Images/n02104365-schipperke/n02104365_6575.jpg,schipperke
Images/n02105412-kelpie/n02105412_1211.jpg,kelpie
Images/n02095889-Sealyham_terrier/n02095889_6519.jpg,Sealyham_terrier
Images/n02089973-English_foxhound/n02089973_251.jpg,English_foxhound
Images/n02104029-kuvasz/n02104029_1492.jpg,kuvasz
Images/n02110185-Siberian_husky/n02110185_3808.jpg,Siberian_husky
Images/n02100236-German_short-haired_pointer/n02100236_689.jpg,German_short-haired_pointer
Images/n02096437-Dandie_Dinmont/n02096437_1511.jpg,Dandie_Dinmont
Images/n02096051-Airedale/n02096051_5356.jpg,Airedale
Images/n02087394-Rhodesian_ridgeback/n02087394_8573.jpg,Rhodesian_ridgeback
Images/n02085936-Maltese_dog/n02085936_2543.jpg,Maltese_dog
Images/n02107683-Bernese_mountain_dog/n02107683_342.jpg,Bernese_mountain_dog
Images/n02088466-bloodhound/n02088466_3096.jpg,bloodhound
Images/n02102480-Sussex_spaniel/n02102480_5010.jpg,Sussex_spaniel
Images/n02088364-beagle/n02088364_9318.jpg,beagle
Images/n02101556-clumber/n02101556_1469.jpg,clumber
Images/n02086240-Shih-Tzu/n02086240_574.jpg,Shih-Tzu
Images/n02097658-silky_terrier/n02097658_2766.jpg,silky_terrier
Images/n02098413-Lhasa/n02098413_5806.jpg,Lhasa
Images/n02095314-wire-haired_fox_terrier/n02095314_2139.jpg,wire-haired_fox_terrier
Images/n02107312-miniature_pinscher/n02107312_5299.jpg,miniature_pinscher
Images/n02111129-Leonberg/n02111129_1380.jpg,Leonberg
Images/n02090379-redbone/n02090379_2420.jpg,redbone
Images/n02097474-Tibetan_terrier/n02097474_2318.jpg,Tibetan_terrier
Images/n02099849-Chesapeake_Bay_retriever/n02099849_2573.jpg,Chesapeake_Bay_retriever
Images/n02102973-Irish_water_spaniel/n02102973_4087.jpg,Irish_water_spaniel
Images/n02111129-Leonberg/n02111129_2112.jpg,Leonberg
Images/n02086910-papillon/n02086910_6306.jpg,papillon
Images/n02105162-malinois/n02105162_8841.jpg,malinois
Images/n02088094-Afghan_hound/n02088094_3937.jpg,Afghan_hound
Images/n02115641-dingo/n02115641_6309.jpg,dingo
Images/n02091244-Ibizan_hound/n02091244_3438.jpg,Ibizan_hound
Images/n02108915-French_bulldog/n02108915_11653.jpg,French_bulldog
Images/n02098105-soft-coated_wheaten_terrier/n02098105_539.jpg,soft-coated_wheaten_terrier
Images/n02108089-boxer/n02108089_4865.jpg,boxer
Images/n02111500-Great_Pyrenees/n02111500_4097.jpg,Great_Pyrenees
Images/n02091831-Saluki/n02091831_4463.jpg,Saluki
Images/n02095889-Sealyham_terrier/n02095889_4074.jpg,Sealyham_terrier
Images/n02107683-Bernese_mountain_dog/n02107683_275.jpg,Bernese_mountain_dog
Images/n02087394-Rhodesian_ridgeback/n02087394_1874.jpg,Rhodesian_ridgeback
Images/n02106030-collie/n02106030_18040.jpg,collie
Images/n02112350-keeshond/n02112350_10184.jpg,keeshond
Images/n02112018-Pomeranian/n02112018_6113.jpg,Pomeranian
Images/n02112350-keeshond/n02112350_6928.jpg,keeshond
Images/n02105056-groenendael/n02105056_7407.jpg,groenendael
Images/n02107142-Doberman/n02107142_11493.jpg,Doberman
Images/n02104365-schipperke/n02104365_9143.jpg,schipperke
Images/n02098286-West_Highland_white_terrier/n02098286_2139.jpg,West_Highland_white_terrier
Images/n02090379-redbone/n02090379_4146.jpg,redbone
Images/n02090379-redbone/n02090379_2410.jpg,redbone
Images/n02085936-Maltese_dog/n02085936_11653.jpg,Maltese_dog
Images/n02093754-Border_terrier/n02093754_3339.jpg,Border_terrier
Images/n02086079-Pekinese/n02086079_7959.jpg,Pekinese
Images/n02093859-Kerry_blue_terrier/n02093859_14.jpg,Kerry_blue_terrier
Images/n02088364-beagle/n02088364_17258.jpg,beagle
Images/n02116738-African_hunting_dog/n02116738_5241.jpg,African_hunting_dog
Images/n02107312-miniature_pinscher/n02107312_3238.jpg,miniature_pinscher
Images/n02091134-whippet/n02091134_12358.jpg,whippet
Images/n02105855-Shetland_sheepdog/n02105855_13382.jpg,Shetland_sheepdog
